R2-USB,157.03,9.84,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,125.01,6.14,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,153.29,-28.52,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,98.71,14.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,74.63,-29.18,91.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.49,-27.10,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,31.09,-5.98,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,53.61,-17.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,52.13,-17.08,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,47.85,-17.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,78.67,-17.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.58,66.43,180.00,,MYBUTTON
R_BUTTON,19.71,65.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,93.94,16.38,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.54,65.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.79,-17.36,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.47,65.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,152.36,-24.77,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,71.66,-29.52,0.00,,SJ
TP1,105.23,-19.70,0.00,TPTP20R,TP20R
TP10,105.16,-23.20,0.00,TPTP20R,TP20R
TP11,15.11,20.20,0.00,TPTP20R,TP20R
TP12,19.31,20.10,0.00,TPTP20R,TP20R
TP13,140.86,18.70,0.00,TPTP20R,TP20R
TP14,105.11,-9.80,0.00,TPTP20R,TP20R
TP15,152.76,21.70,0.00,TPTP20R,TP20R
TP16,84.71,27.90,0.00,TPTP20R,TP20R
TP17,94.26,-8.70,0.00,TPTP20R,TP20R
TP2,105.15,-16.40,0.00,TPTP20R,TP20R
TP3,77.77,-8.20,0.00,TPTP20R,TP20R
TP4,152.79,18.80,0.00,TPTP20R,TP20R
TP5,84.69,23.98,0.00,TPTP20R,TP20R
TP6,11.01,20.28,0.00,TPTP20R,TP20R
TP7,17.43,-17.32,0.00,TPTP20R,TP20R
TP8,13.75,-17.42,0.00,TPTP20R,TP20R
TP9,105.17,-13.02,0.00,TPTP20R,TP20R
U1,17.15,3.34,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,8.97,45.43,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
U3,90.75,9.30,270.00,DS3231SN#,SOIC127P1032X265-16N
U5,140.94,9.53,0.00,MAX17048G+T10,SON50P200X200X80-9N
U7,39.90,4.26,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
